weather,time_str,city,order_type,time_hour,time_segment,weather_type,recommended_dish
Windy,21:50,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Fog,22:50,Urban,Snack,22,Dinner,Cool/Rainy,Biryani
Cloudy,09:25,Metropolitian,Drinks,9,Morning,Cool/Rainy,North Indian
Cloudy,17:50,Metropolitian,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Fog,23:30,Metropolitian,Snack,23,Late-Night,Cool/Rainy,Pizza
Stormy,22:30,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Cloudy,22:55,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Stormy,10:20,Urban,Snack,10,Morning,Cool/Rainy,North Indian
Sunny,22:15,Metropolitian,Snack,22,Dinner,Hot/Dry,Biryani
Fog,20:10,Metropolitian,Drinks,20,Dinner,Cool/Rainy,Biryani
Fog,17:35,Metropolitian,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Sandstorms,21:15,Metropolitian,Buffet,21,Dinner,Hot/Dry,Biryani
Stormy,18:20,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Biryani
Windy,21:20,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Fog,08:30,Urban,Meal,8,Morning,Cool/Rainy,Coffee
Sandstorms,19:55,Metropolitian,Snack,19,Dinner,Hot/Dry,Biryani
Sunny,,Metropolitian,Meal,12,Lunch,Hot/Dry,Chaat
Fog,22:25,Metropolitian,Buffet,22,Dinner,Cool/Rainy,Biryani
Cloudy,21:20,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Cloudy,09:15,Metropolitian,Drinks,9,Morning,Cool/Rainy,North Indian
Fog,17:15,Urban,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Sandstorms,21:45,Metropolitian,Snack,21,Dinner,Hot/Dry,Biryani
Cloudy,17:30,Urban,Buffet,17,Tea-Time,Cool/Rainy,Chaat
Fog,18:10,Metropolitian,Buffet,18,Tea-Time,Cool/Rainy,Chaat
Sunny,19:30,Metropolitian,Buffet,19,Dinner,Hot/Dry,Biryani
Sandstorms,22:20,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Cloudy,18:35,Urban,Snack,18,Tea-Time,Cool/Rainy,Biryani
Fog,09:10,Urban,Buffet,9,Morning,Cool/Rainy,Coffee
Sunny,21:20,Urban,Drinks,21,Dinner,Hot/Dry,Biryani
Sunny,20:50,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Stormy,09:15,Metropolitian,Drinks,9,Morning,Cool/Rainy,North Indian
Sandstorms,23:45,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Windy,10:40,Metropolitian,Drinks,10,Morning,Hot/Dry,Coffee
Stormy,19:25,Metropolitian,Drinks,19,Dinner,Cool/Rainy,Biryani
Stormy,23:30,Urban,Snack,23,Late-Night,Cool/Rainy,Pizza
Cloudy,18:15,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Biryani
Cloudy,0.625,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Windy,22:20,Metropolitian,Buffet,22,Dinner,Hot/Dry,Biryani
Cloudy,19:25,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Stormy,20:30,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Sunny,23:45,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Sandstorms,18:25,Metropolitian,Drinks,18,Tea-Time,Hot/Dry,Chaat
Windy,22:35,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Sunny,21:10,Metropolitian,Meal,21,Dinner,Hot/Dry,Biryani
Windy,17:10,Metropolitian,Buffet,17,Tea-Time,Hot/Dry,Chaat
Fog,17:30,Metropolitian,Buffet,17,Tea-Time,Cool/Rainy,Chaat
Stormy,0.75,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Sandstorms,19:50,Metropolitian,Meal,19,Dinner,Hot/Dry,Biryani
Cloudy,0.5,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Fog,13:20,Metropolitian,Meal,13,Lunch,Cool/Rainy,North Indian
Windy,0.75,Urban,Buffet,12,Lunch,Hot/Dry,North Indian
Fog,22:20,Metropolitian,Meal,22,Dinner,Cool/Rainy,Biryani
Stormy,09:50,Metropolitian,Snack,9,Morning,Cool/Rainy,North Indian
Windy,20:35,Urban,Drinks,20,Dinner,Hot/Dry,Biryani
Windy,11:25,Metropolitian,Snack,11,Lunch,Hot/Dry,North Indian
Windy,21:10,Metropolitian,Buffet,21,Dinner,Hot/Dry,Biryani
Windy,17:30,Metropolitian,Drinks,17,Tea-Time,Hot/Dry,Chaat
Cloudy,22:25,Metropolitian,Meal,22,Dinner,Cool/Rainy,Biryani
Sandstorms,12:45,Metropolitian,Buffet,12,Lunch,Hot/Dry,North Indian
Cloudy,15:40,Metropolitian,Snack,15,Lunch,Cool/Rainy,North Indian
Fog,09:45,Urban,Buffet,9,Morning,Cool/Rainy,Coffee
Windy,0.791666667,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Windy,0.833333333,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Fog,0.75,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Stormy,19:20,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Windy,11:40,Urban,Snack,11,Lunch,Hot/Dry,North Indian
Cloudy,20:10,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Fog,09:20,Urban,Buffet,9,Morning,Cool/Rainy,Coffee
Stormy,13:35,Metropolitian,Buffet,13,Lunch,Cool/Rainy,North Indian
Sunny,0.375,Metropolitian,Meal,12,Lunch,Hot/Dry,Chaat
Fog,23:25,Metropolitian,Snack,23,Late-Night,Cool/Rainy,Pizza
Sunny,0.916666667,Metropolitian,Drinks,12,Lunch,Hot/Dry,Chaat
Sandstorms,13:15,Metropolitian,Buffet,13,Lunch,Hot/Dry,North Indian
Cloudy,22:50,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Cloudy,22:35,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Stormy,22:25,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Cloudy,17:30,Metropolitian,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Fog,19:10,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Stormy,23:30,Urban,Snack,23,Late-Night,Cool/Rainy,Pizza
Fog,17:10,Metropolitian,Meal,17,Tea-Time,Cool/Rainy,Chaat
Sandstorms,0.958333333,Metropolitian,Buffet,12,Lunch,Hot/Dry,North Indian
Stormy,0.875,Urban,Snack,12,Lunch,Cool/Rainy,North Indian
Cloudy,22:45,Metropolitian,Meal,22,Dinner,Cool/Rainy,Biryani
Stormy,18:50,Urban,Drinks,18,Tea-Time,Cool/Rainy,Biryani
Sunny,09:25,Metropolitian,Drinks,9,Morning,Hot/Dry,North Indian
Fog,0.916666667,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Sunny,,Metropolitian,Drinks,12,Lunch,Hot/Dry,Chaat
Windy,13:50,Metropolitian,Snack,13,Lunch,Hot/Dry,North Indian
Fog,22:45,Metropolitian,Meal,22,Dinner,Cool/Rainy,Biryani
Fog,19:50,Metropolitian,Snack,19,Dinner,Cool/Rainy,Biryani
Stormy,11:10,Metropolitian,Meal,11,Lunch,Cool/Rainy,North Indian
Stormy,20:45,Urban,Drinks,20,Dinner,Cool/Rainy,Biryani
Windy,20:40,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Stormy,20:25,Metropolitian,Drinks,20,Dinner,Cool/Rainy,Biryani
Cloudy,0.541666667,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Stormy,,Urban,Buffet,12,Lunch,Cool/Rainy,North Indian
Fog,17:35,Urban,Snack,17,Tea-Time,Cool/Rainy,Chaat
Sandstorms,18:55,Urban,Snack,18,Tea-Time,Hot/Dry,Chaat
Stormy,19:35,Metropolitian,Snack,19,Dinner,Cool/Rainy,Biryani
Sunny,23:45,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Sunny,0.916666667,Metropolitian,Meal,12,Lunch,Hot/Dry,Chaat
Stormy,20:30,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Sandstorms,23:10,Metropolitian,Snack,23,Late-Night,Hot/Dry,Pizza
Sunny,23:10,Metropolitian,Snack,23,Late-Night,Hot/Dry,Pizza
Windy,0.375,Urban,Drinks,12,Lunch,Hot/Dry,North Indian
Stormy,21:10,Metropolitian,Meal,21,Dinner,Cool/Rainy,Biryani
Sandstorms,22:25,Metropolitian,Snack,22,Dinner,Hot/Dry,Biryani
Sunny,13:35,Metropolitian,Meal,13,Lunch,Hot/Dry,Chaat
Stormy,18:45,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Biryani
Cloudy,0.833333333,Metropolitian,Buffet,12,Lunch,Cool/Rainy,North Indian
Cloudy,17:20,Metropolitian,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Fog,22:40,Urban,Meal,22,Dinner,Cool/Rainy,Biryani
Sandstorms,0.791666667,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Sandstorms,12:45,Urban,Buffet,12,Lunch,Hot/Dry,North Indian
Sunny,22:40,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Windy,0.833333333,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Stormy,20:45,Metropolitian,Buffet,20,Dinner,Cool/Rainy,Biryani
Cloudy,21:45,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Cloudy,0.708333333,Metropolitian,Buffet,12,Lunch,Cool/Rainy,North Indian
Sandstorms,09:55,Urban,Meal,9,Morning,Hot/Dry,North Indian
Fog,20:25,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Fog,0.833333333,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Sandstorms,0.916666667,Urban,Snack,12,Lunch,Hot/Dry,North Indian
Sunny,12:15,Metropolitian,Meal,12,Lunch,Hot/Dry,Chaat
Windy,17:55,Urban,Snack,17,Tea-Time,Hot/Dry,Chaat
Stormy,23:10,Metropolitian,Meal,23,Late-Night,Cool/Rainy,Pizza
Sandstorms,10:50,Metropolitian,Drinks,10,Morning,Hot/Dry,North Indian
Sunny,08:40,,Meal,8,Morning,Hot/Dry,North Indian
Cloudy,0.75,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Stormy,21:30,Metropolitian,Buffet,21,Dinner,Cool/Rainy,Biryani
Stormy,19:25,Urban,Buffet,19,Dinner,Cool/Rainy,Biryani
Sunny,14:20,Metropolitian,Drinks,14,Lunch,Hot/Dry,Chaat
Stormy,23:55,Metropolitian,Meal,23,Late-Night,Cool/Rainy,Pizza
Windy,0.5,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Cloudy,21:55,Metropolitian,Drinks,21,Dinner,Cool/Rainy,Biryani
Cloudy,18:10,Metropolitian,Drinks,18,Tea-Time,Cool/Rainy,Biryani
Sunny,08:50,Metropolitian,Buffet,8,Morning,Hot/Dry,North Indian
Fog,11:10,Urban,Meal,11,Lunch,Cool/Rainy,North Indian
Stormy,09:20,Metropolitian,Snack,9,Morning,Cool/Rainy,North Indian
Sunny,11:55,Metropolitian,Drinks,11,Lunch,Hot/Dry,North Indian
Cloudy,21:30,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Windy,21:30,Urban,Buffet,21,Dinner,Hot/Dry,Biryani
Fog,22:15,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Sunny,11:45,Urban,Buffet,11,Lunch,Hot/Dry,North Indian
Cloudy,19:35,Metropolitian,Meal,19,Dinner,Cool/Rainy,Biryani
Cloudy,11:20,Metropolitian,Buffet,11,Lunch,Cool/Rainy,North Indian
Stormy,09:15,Urban,Meal,9,Morning,Cool/Rainy,North Indian
Fog,19:50,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Cloudy,0.75,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Fog,21:55,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Sunny,10:20,Urban,Meal,10,Morning,Hot/Dry,North Indian
Cloudy,09:55,Metropolitian,Meal,9,Morning,Cool/Rainy,North Indian
Sandstorms,17:40,Metropolitian,Drinks,17,Tea-Time,Hot/Dry,Chaat
Sandstorms,15:55,Metropolitian,Drinks,15,Lunch,Hot/Dry,North Indian
Windy,19:50,Metropolitian,Buffet,19,Dinner,Hot/Dry,Biryani
Sunny,20:35,Metropolitian,Meal,20,Dinner,Hot/Dry,Biryani
Fog,17:55,Metropolitian,Meal,17,Tea-Time,Cool/Rainy,Chaat
Stormy,23:30,Metropolitian,Drinks,23,Late-Night,Cool/Rainy,Pizza
Cloudy,18:25,Metropolitian,Drinks,18,Tea-Time,Cool/Rainy,Biryani
Windy,11:15,Metropolitian,Meal,11,Lunch,Hot/Dry,North Indian
Sandstorms,,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Windy,22:30,Urban,Buffet,22,Dinner,Hot/Dry,Biryani
Cloudy,,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Stormy,11:30,Metropolitian,Meal,11,Lunch,Cool/Rainy,North Indian
Fog,08:15,Metropolitian,Drinks,8,Morning,Cool/Rainy,Coffee
Windy,15:50,Metropolitian,Meal,15,Lunch,Hot/Dry,North Indian
Windy,11:55,Metropolitian,Buffet,11,Lunch,Hot/Dry,North Indian
Sandstorms,22:30,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Cloudy,0.875,Urban,Buffet,12,Lunch,Cool/Rainy,North Indian
Sandstorms,10:15,Urban,Drinks,10,Morning,Hot/Dry,North Indian
Cloudy,17:35,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Stormy,22:20,Metropolitian,Buffet,22,Dinner,Cool/Rainy,Biryani
Sunny,16:20,Metropolitian,Buffet,16,Tea-Time,Hot/Dry,Chaat
Stormy,0.791666667,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Cloudy,17:45,Metropolitian,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Sandstorms,21:45,Metropolitian,Snack,21,Dinner,Hot/Dry,Biryani
Windy,21:55,Metropolitian,Snack,21,Dinner,Hot/Dry,Biryani
Sunny,17:35,Metropolitian,Meal,17,Tea-Time,Hot/Dry,Chaat
Stormy,21:15,Urban,Snack,21,Dinner,Cool/Rainy,Biryani
Fog,17:25,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Sunny,19:15,Metropolitian,Buffet,19,Dinner,Hot/Dry,Biryani
Cloudy,20:20,Metropolitian,Drinks,20,Dinner,Cool/Rainy,Biryani
Sandstorms,08:20,Metropolitian,Drinks,8,Morning,Hot/Dry,North Indian
Sandstorms,20:50,Metropolitian,Drinks,20,Dinner,Hot/Dry,Biryani
Sunny,19:20,Urban,Buffet,19,Dinner,Hot/Dry,Biryani
Sunny,22:10,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Windy,0.916666667,Urban,Drinks,12,Lunch,Hot/Dry,North Indian
Fog,12:55,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Windy,20:30,Metropolitian,Drinks,20,Dinner,Hot/Dry,Biryani
Sunny,21:20,Metropolitian,Snack,21,Dinner,Hot/Dry,Biryani
Sandstorms,21:50,Metropolitian,Meal,21,Dinner,Hot/Dry,Biryani
Stormy,18:20,Metropolitian,Snack,18,Tea-Time,Cool/Rainy,Biryani
Sunny,14:30,Metropolitian,Buffet,14,Lunch,Hot/Dry,Chaat
Sandstorms,19:50,Metropolitian,Drinks,19,Dinner,Hot/Dry,Biryani
Cloudy,23:50,Metropolitian,Meal,23,Late-Night,Cool/Rainy,Pizza
Fog,17:45,Metropolitian,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Fog,0.5,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Stormy,16:55,Metropolitian,Meal,16,Tea-Time,Cool/Rainy,Chaat
Sunny,,Metropolitian,Drinks,12,Lunch,Hot/Dry,Chaat
Stormy,19:15,Metropolitian,Meal,19,Dinner,Cool/Rainy,Biryani
Sandstorms,20:15,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Windy,23:15,Metropolitian,Snack,23,Late-Night,Hot/Dry,Pizza
Sandstorms,0.875,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Cloudy,19:35,Urban,Drinks,19,Dinner,Cool/Rainy,Biryani
Fog,1,Urban,Drinks,1,Late-Night,Cool/Rainy,Pizza
Sandstorms,0.958333333,Urban,Meal,12,Lunch,Hot/Dry,North Indian
Fog,19:10,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Cloudy,19:30,Metropolitian,Meal,19,Dinner,Cool/Rainy,Biryani
Windy,0.75,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Cloudy,11:45,Metropolitian,Drinks,11,Lunch,Cool/Rainy,North Indian
Sandstorms,23:40,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Fog,08:45,Metropolitian,Drinks,8,Morning,Cool/Rainy,Coffee
Cloudy,18:20,Urban,Buffet,18,Tea-Time,Cool/Rainy,Biryani
Sunny,10:55,Metropolitian,Snack,10,Morning,Hot/Dry,North Indian
Windy,20:35,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Stormy,21:15,Urban,Snack,21,Dinner,Cool/Rainy,Biryani
Sunny,0.75,Urban,Buffet,12,Lunch,Hot/Dry,Chaat
Sunny,0.875,Metropolitian,Snack,12,Lunch,Hot/Dry,Chaat
Sandstorms,09:25,Metropolitian,Buffet,9,Morning,Hot/Dry,North Indian
Sunny,,Urban,Drinks,12,Lunch,Hot/Dry,Chaat
Fog,18:50,Metropolitian,Drinks,18,Tea-Time,Cool/Rainy,Chaat
Cloudy,21:55,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Windy,20:25,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Sunny,17:15,Urban,Drinks,17,Tea-Time,Hot/Dry,Chaat
Stormy,21:35,Metropolitian,Drinks,21,Dinner,Cool/Rainy,Biryani
Stormy,23:40,Urban,Snack,23,Late-Night,Cool/Rainy,Pizza
Cloudy,20:55,Urban,Buffet,20,Dinner,Cool/Rainy,Biryani
Fog,19:40,Metropolitian,Drinks,19,Dinner,Cool/Rainy,Biryani
Stormy,19:45,Metropolitian,Meal,19,Dinner,Cool/Rainy,Biryani
Windy,0.916666667,Urban,Meal,12,Lunch,Hot/Dry,North Indian
Cloudy,0.916666667,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Stormy,20:40,Metropolitian,Buffet,20,Dinner,Cool/Rainy,Biryani
Stormy,18:40,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Biryani
Sunny,23:25,Metropolitian,Drinks,23,Late-Night,Hot/Dry,Pizza
Cloudy,0.458333333,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Cloudy,11:25,Metropolitian,Buffet,11,Lunch,Cool/Rainy,North Indian
Stormy,21:20,Metropolitian,Drinks,21,Dinner,Cool/Rainy,Biryani
Stormy,11:45,Metropolitian,Snack,11,Lunch,Cool/Rainy,North Indian
Sunny,15:10,Metropolitian,Snack,15,Lunch,Hot/Dry,Chaat
Sandstorms,08:35,Metropolitian,Drinks,8,Morning,Hot/Dry,North Indian
Cloudy,21:45,Metropolitian,Meal,21,Dinner,Cool/Rainy,Biryani
Cloudy,18:40,Urban,Meal,18,Tea-Time,Cool/Rainy,Biryani
Sunny,18:35,Metropolitian,Buffet,18,Tea-Time,Hot/Dry,Chaat
Fog,21:45,Metropolitian,Meal,21,Dinner,Cool/Rainy,Biryani
Stormy,22:10,Metropolitian,Snack,22,Dinner,Cool/Rainy,Biryani
Windy,23:10,Metropolitian,Drinks,23,Late-Night,Hot/Dry,Pizza
Windy,17:25,Metropolitian,Buffet,17,Tea-Time,Hot/Dry,Chaat
Sandstorms,17:40,Metropolitian,Meal,17,Tea-Time,Hot/Dry,Chaat
Cloudy,0.583333333,Urban,Buffet,12,Lunch,Cool/Rainy,North Indian
Stormy,09:55,Metropolitian,Drinks,9,Morning,Cool/Rainy,North Indian
Fog,12:55,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Fog,10:10,Metropolitian,Buffet,10,Morning,Cool/Rainy,Coffee
Sandstorms,22:30,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Stormy,10:30,Metropolitian,Snack,10,Morning,Cool/Rainy,North Indian
Sunny,17:40,Urban,Snack,17,Tea-Time,Hot/Dry,Chaat
Cloudy,,Urban,Buffet,12,Lunch,Cool/Rainy,North Indian
Stormy,0.583333333,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Windy,23:55,Metropolitian,Meal,23,Late-Night,Hot/Dry,Pizza
Windy,21:40,Metropolitian,Meal,21,Dinner,Hot/Dry,Biryani
Cloudy,20:35,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Windy,21:30,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Cloudy,20:25,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Fog,17:45,Metropolitian,Meal,17,Tea-Time,Cool/Rainy,Chaat
Stormy,08:30,Metropolitian,Buffet,8,Morning,Cool/Rainy,North Indian
Sandstorms,0.791666667,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Sandstorms,17:10,,Meal,17,Tea-Time,Hot/Dry,Chaat
Windy,12:25,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Fog,22:10,Metropolitian,Buffet,22,Dinner,Cool/Rainy,Biryani
Stormy,19:45,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Cloudy,20:20,Urban,Buffet,20,Dinner,Cool/Rainy,Biryani
Windy,0.958333333,Urban,Meal,12,Lunch,Hot/Dry,North Indian
Cloudy,10:30,Metropolitian,Meal,10,Morning,Cool/Rainy,North Indian
Stormy,19:45,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Stormy,09:35,Urban,Buffet,9,Morning,Cool/Rainy,North Indian
Fog,21:10,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Sunny,12:20,Metropolitian,Drinks,12,Lunch,Hot/Dry,Chaat
Sandstorms,22:40,Metropolitian,Buffet,22,Dinner,Hot/Dry,Biryani
Sunny,19:15,Metropolitian,Buffet,19,Dinner,Hot/Dry,Biryani
Stormy,11:15,Metropolitian,Snack,11,Lunch,Cool/Rainy,North Indian
Stormy,19:30,Urban,Drinks,19,Dinner,Cool/Rainy,Biryani
Fog,18:50,Metropolitian,Buffet,18,Tea-Time,Cool/Rainy,Chaat
Fog,10:55,Metropolitian,Drinks,10,Morning,Cool/Rainy,Coffee
Stormy,15:15,Metropolitian,Drinks,15,Lunch,Cool/Rainy,North Indian
Windy,17:50,Metropolitian,Snack,17,Tea-Time,Hot/Dry,Chaat
Stormy,11:45,Metropolitian,Buffet,11,Lunch,Cool/Rainy,North Indian
Windy,0.958333333,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Stormy,09:40,Metropolitian,Buffet,9,Morning,Cool/Rainy,North Indian
Fog,20:15,Metropolitian,Meal,20,Dinner,Cool/Rainy,Biryani
Windy,17:15,Metropolitian,Buffet,17,Tea-Time,Hot/Dry,Chaat
Cloudy,14:45,Metropolitian,Buffet,14,Lunch,Cool/Rainy,North Indian
Cloudy,19:55,Urban,Drinks,19,Dinner,Cool/Rainy,Biryani
Windy,23:25,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Stormy,15:20,Metropolitian,Meal,15,Lunch,Cool/Rainy,North Indian
Cloudy,0.916666667,Urban,Buffet,12,Lunch,Cool/Rainy,North Indian
Cloudy,15:55,Metropolitian,Buffet,15,Lunch,Cool/Rainy,North Indian
Stormy,23:10,,Snack,23,Late-Night,Cool/Rainy,Pizza
Cloudy,23:30,Metropolitian,Snack,23,Late-Night,Cool/Rainy,Pizza
Cloudy,21:20,Metropolitian,Meal,21,Dinner,Cool/Rainy,Biryani
Cloudy,0.541666667,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Sandstorms,08:35,Urban,Meal,8,Morning,Hot/Dry,North Indian
Sunny,08:55,Urban,Drinks,8,Morning,Hot/Dry,North Indian
Sunny,18:40,Metropolitian,Drinks,18,Tea-Time,Hot/Dry,Chaat
Windy,20:30,Metropolitian,Buffet,20,Dinner,Hot/Dry,Biryani
Stormy,10:45,Urban,Drinks,10,Morning,Cool/Rainy,North Indian
Sandstorms,21:15,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Windy,17:30,Metropolitian,Buffet,17,Tea-Time,Hot/Dry,Chaat
Cloudy,17:40,Metropolitian,Buffet,17,Tea-Time,Cool/Rainy,Chaat
Sandstorms,17:10,Metropolitian,Snack,17,Tea-Time,Hot/Dry,Chaat
Fog,20:35,Metropolitian,Buffet,20,Dinner,Cool/Rainy,Biryani
Windy,12:30,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Sunny,20:10,Urban,Snack,20,Dinner,Hot/Dry,Biryani
Cloudy,0.916666667,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Sandstorms,0.875,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Windy,0.75,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Sandstorms,23:15,Metropolitian,Snack,23,Late-Night,Hot/Dry,Pizza
Cloudy,20:35,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Sunny,10:25,Urban,Snack,10,Morning,Hot/Dry,North Indian
Sunny,18:10,Urban,Buffet,18,Tea-Time,Hot/Dry,Chaat
Fog,18:45,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Chaat
Sunny,23:20,Urban,Snack,23,Late-Night,Hot/Dry,Pizza
Sandstorms,,Urban,Buffet,12,Lunch,Hot/Dry,North Indian
Fog,23:50,Urban,Snack,23,Late-Night,Cool/Rainy,Pizza
Cloudy,18:45,Metropolitian,Buffet,18,Tea-Time,Cool/Rainy,Biryani
Stormy,22:55,Metropolitian,Snack,22,Dinner,Cool/Rainy,Biryani
Cloudy,18:30,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Biryani
Sunny,13:30,Metropolitian,Buffet,13,Lunch,Hot/Dry,Chaat
Sunny,19:35,Metropolitian,Snack,19,Dinner,Hot/Dry,Biryani
Windy,20:15,Urban,Meal,20,Dinner,Hot/Dry,Biryani
Sunny,23:30,Metropolitian,Drinks,23,Late-Night,Hot/Dry,Pizza
Windy,09:20,Urban,Snack,9,Morning,Hot/Dry,Coffee
Sunny,,Urban,Snack,12,Lunch,Hot/Dry,Chaat
Sunny,,Metropolitian,Drinks,12,Lunch,Hot/Dry,Chaat
Sunny,,Urban,Buffet,12,Lunch,Hot/Dry,Chaat
Stormy,17:50,Metropolitian,Buffet,17,Tea-Time,Cool/Rainy,Chaat
Sandstorms,08:15,Metropolitian,Drinks,8,Morning,Hot/Dry,North Indian
Fog,20:50,Metropolitian,Buffet,20,Dinner,Cool/Rainy,Biryani
Windy,0.833333333,Metropolitian,Buffet,12,Lunch,Hot/Dry,North Indian
Stormy,10:10,Metropolitian,Drinks,10,Morning,Cool/Rainy,North Indian
Stormy,23:30,Metropolitian,Meal,23,Late-Night,Cool/Rainy,Pizza
Sandstorms,,Metropolitian,Buffet,12,Lunch,Hot/Dry,North Indian
Cloudy,21:40,Urban,Drinks,21,Dinner,Cool/Rainy,Biryani
